Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0122	0.032699000000000006	0.027576	0.016132	0.065464	6
0123	4e-06	0.001071	0.010832	0.016806	2
0124	0.02237	0.034645	0.005852	0.051807	3
0125	0.001323	0.031021	0.004344	0.050859	2
0126	0.065691	0.082497	0.01128	0.102157	8
0127	0.027774999999999998	0.030082	0.000364	0.071945	2
0128	0.0	0.002335	0.016509	0.047261	1
0129	0.009106000000000001	0.020516	0.012731	0.088158	3
0130	0.058948	0.092421	0.025858	0.165144	4
0131	0.029091	0.020842	0.010454	0.056706	15
0132	0.0042179999999999995	0.009741	0.011481	0.025427	2
0133	0.044593	0.001615	0.023879	0.021847	3
0134	0.042129	0.030875	0.000295	0.048548	5
0135	0.0015890000000000001	0.02212	0.0079	0.035131	2
0136	0.06246600000000001	0.021686	0.016525	0.052775	17
0137	1e-06	0.010957	0.007353	0.039828	1
0138	0.0	0.007258	0.004121	0.025282	1
0139	0.000305	0.001914	0.018645	0.037989	3
0140	0.029017	0.003865	0.010064	0.02831	7
0141	0.004992999999999999	0.016237	0.011659	0.047423	2
0142	0.047767	0.043323	0.004345	0.085868	22
0143	0.014867000000000002	0.023701	0.001054	0.065531	7
0144	0.01802	0.001436	0.0073	0.019925	5
0145	0.060344999999999996	0.001492	0.017453	0.009188	17
0146	0.007226	0.02043	0.002488	0.083708	3
0147	0.012722999999999998	0.052296	0.002068	0.067583	3
0148	5.8e-05	0.000788	0.005923	0.015713	3
0149	0.002515	0.02096	0.003383	0.034817	2
0150	0.040354	0.066727	0.010188	0.132513	3
0151	0.007223	0.015329	0.001414	0.057706	5
0152	0.041874	0.055697	0.001322	0.133441	6
0153	0.021379	0.033291	0.002027	0.101937	4
0154	0.022012000000000004	0.004686	0.020836	0.046531	8
0155	0.017567000000000003	0.025148	0.005672	0.036525	4
0156	7.9e-05	0.035669	0.006612	0.068234	2
0157	0.100354	0.034878	0.007865	0.07597	28
0158	0.005074	0.022573	0.000646	0.061134	2
0159	0.021055	0.038979	0.000786	0.065096	3
0160	0.007366	0.020379	0.04338	0.040072	1
0161	0.00846	0.032592	0.000859	0.03945	2
0162	0.014139	0.001531	0.015348	0.006037	5
0163	0.027033	0.05261	0.001077	0.060853	4
0164	0.012946999999999998	0.002505	0.011615	0.041957	3
0165	0.007597	0.006345	0.019374	0.007332	2
0166	0.019681	0.019818	0.004546	0.061776	8
0167	0.0014420000000000001	0.001911	0.011909	0.02088	2
0168	0.045954999999999996	0.030204	0.008445	0.085594	7
0169	0.013482	0.039212	0.015443	0.087053	3
0170	0.068771	0.085403	0.004576	0.105334	8
0171	0.029710999999999998	0.050316	0.018163	0.07269	4
0172	0.026718	0.035112	0.009979	0.134709	2
0173	0.022979	0.060071	0.003473	0.076397	3
0174	0.026453	0.04856	0.010984	0.055655	5
0175	0.034329	0.038952	0.01126	0.059535	6
0176	0.000221	0.063883	0.006801	0.104713	1
0177	0.089028	0.065543	0.021685	0.070963	7
0178	0.027133	0.013404	0.012344	0.025429	4
0179	0.011967	0.024786	0.015483	0.058717	2
0180	0.052459	0.061558	0.001309	0.087393	5
0181	0.013252	0.002206	0.009939	0.03534	4
0182	0.008035	0.030708	0.002074	0.067768	2
0183	0.001304	0.021641	0.009135	0.034921	1
0184	0.01627	0.039781	0.015752	0.109132	3
0185	0.037924	0.027697	0.001062	0.050881	12
0186	0.01485	0.02988	0.015012	0.063144	3
0187	0.0014919999999999998	0.01339	0.032364	0.056592	1
0188	0.000212	0.023232	0.002457	0.060272	2
0189	0.009548000000000001	0.05134	0.004037	0.063306	2
0190	0.017576	0.017976	0.00263	0.077524	6
0191	0.054180000000000006	0.056978	0.001397	0.072664	7
0192	0.011744	0.066591	0.005669	0.095706	6
0193	0.026119999999999997	0.022349	0.007855	0.052998	2
0194	0.048218000000000004	0.031594	0.005302	0.116347	10
0195	0.122966	0.027042	1.4e-05	0.040338	37
0196	0.020928	0.056363	1.1e-05	0.079157	5
0197	0.012606	0.032201	0.0059	0.039012	5
0198	0.007436999999999999	0.010805	0.001738	0.030766	3
0199	0.015111	0.032385	0.01168	0.046092	3
0200	0.017967	0.032156	0.001319	0.061471	8
0201	0.005244	0.02329	0.010122	0.032649	2
0202	0.09224099999999999	0.003074	0.033284	0.122929	10
0203	0.0014219999999999999	0.024498	0.000946	0.060037	2
0204	0.003785	0.015105	0.011218	0.038745	1
0205	0.00012	0.01071	0.002448	0.024208	2
0206	0.013237	0.045841	0.000703	0.108219	3
